Id,Label,sexlabel,type
580,Mariateresa Di Lascia,femenino,true
581,Camille Pascal,masculino,true
582,Charles Géniaux,masculino,true
583,Christian Murciaux,masculino,true
584,Joseph Jolinon,masculino,true
585,Adriano González León,masculino,true
586,Fernando Aramburu,masculino,true
587,Giorgio Montefoschi,masculino,true
588,Tim O'Brien,masculino,true
589,J. F. Powers,masculino,true
590,Fernando Marías Amondo,masculino,true
591,Michele Prisco,masculino,true
592,Iván Bunin,masculino,true
593,William Golding,masculino,true
594,Paul Guth,masculino,true
595,Gabriel d'Aubarède,masculino,true
596,Elfriede Jelinek,femenino,true
597,Andrés Barba,masculino,true
598,Antonio Gracia Caselles,masculino,true
599,Miguel Ángel Asturias,masculino,true
600,Juan Bonilla,masculino,true
601,Clara Usón,femenino,true
602,François-Olivier Rousseau,masculino,true
603,François Duhourcau,masculino,true
604,François Sureau,masculino,true
605,François Taillandier,masculino,true
606,Jesmyn Ward,femenino,true
607,Ivo Andrić,masculino,true
608,Peter Matthiessen,masculino,true
609,Wright Morris,masculino,true
610,José García Nieto,masculino,true
611,Henri Coulonges,masculino,true
612,Henry Castillou,masculino,true
613,Jacques-Francis Rolland,masculino,true
614,Jean-Noël Pancrazi,masculino,true
615,Conrad Richter,masculino,true
616,José Hierro,masculino,true
617,Domenico Rea,masculino,true
618,Emanuele Trevi,masculino,true
619,Francesco Piccolo,masculino,true
620,Nicola Lagioia,masculino,true
621,Rafael Courtoisie,masculino,true
622,Rafael Espejo,masculino,true
623,Rubén Martín Díaz,masculino,true
624,Cesare Pavese,masculino,true
625,Umberto Eco,masculino,true
626,Pilar Lozano Carbayo,femenino,true
627,Mariana Enríquez,femenino,true
628,Marta Sanz,femenino,true
629,Vicente Gaos,masculino,true
630,Carlos Murciano,masculino,true
631,Diego Doncel,masculino,true
632,Paloma Díaz-Mas,femenino,true
633,José Ángel Valente,masculino,true
634,Félix Grande,masculino,true
635,Carlos Pardo,masculino,true
636,Guillermo Carnero,masculino,true
637,Vanesa Pérez-Sauquillo,femenino,true
638,Rafael Soto Vergés,masculino,true
639,Pureza Canelo,femenino,true
640,Elvira Sastre,femenino,true
641,Raquel Taranilla,femenino,true
642,María Elvira Lacaci,femenino,true
643,Javier Pérez Andújar,masculino,true
644,Javier Vela,masculino,true
645,José Luis Piquero,masculino,true
646,Joaquín Caro Romero,masculino,true
647,Lorenzo Gomis,masculino,true
648,Javier de Bengoechea,masculino,true
649,Jesús Bernal,masculino,true
650,Carmen Vázquez-Vigo,femenino,true
651,Concha López Narváez,femenino,true
652,Manuel Padorno,masculino,true
